Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Correct Set Size,Average Iteration Age of Correct Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,Total Global Time,Total Matching Time,Total Deletion Time,Total Subsumption Time,Total Selection Time,Total Evaluation Time
16,0.9411764705882353,0,16,16,1,1,16.0,0,0,0,1,0,0.0014190673828125,0.00019288063049316406,1.3828277587890625e-05,0.0,0.0,0.0006909370422363281
17,0.9444444444444444,0,16,16,3,2,6.5,0,0,0,0,0,0.0015099048614501953,0.00021791458129882812,1.4781951904296875e-05,0.0,0.0,0.0007309913635253906
18,0.9473684210526315,0,16,16,2,1,11.0,0,0,0,0,0,0.0015909671783447266,0.00023984909057617188,1.5735626220703125e-05,0.0,0.0,0.0007688999176025391
19,0.95,0,16,16,1,1,16.0,0,0,0,0,0,0.0016682147979736328,0.00026297569274902344,1.6689300537109375e-05,0.0,0.0,0.000804901123046875
20,0.9523809523809523,0,17,17,1,1,20.0,0,0,0,1,0,0.0017549991607666016,0.00028395652770996094,1.7642974853515625e-05,0.0,0.0,0.0008416175842285156
21,0.9545454545454546,0,18,18,1,1,21.0,0,0,0,1,0,0.0018439292907714844,0.00030803680419921875,1.7642974853515625e-05,0.0,0.0,0.0008785724639892578
22,0.9565217391304348,0,18,18,1,1,11.0,0,0,0,0,0,0.0019240379333496094,0.0003330707550048828,1.8596649169921875e-05,0.0,0.0,0.0009164810180664062
23,0.9583333333333334,0,18,18,1,1,11.0,0,0,0,0,0,0.0020029544830322266,0.0003571510314941406,1.9788742065429688e-05,0.0,0.0,0.0009534358978271484
24,0.96,0,18,18,2,2,20.5,0,0,0,0,0,0.002090930938720703,0.00038504600524902344,2.0742416381835938e-05,0.0,0.0,0.0009908676147460938
25,0.9230769230769231,0,18,18,2,1,4.0,0,0,0,0,0,0.0021779537200927734,0.0004131793975830078,2.1696090698242188e-05,0.0,0.0,0.0010285377502441406
26,0.9259259259259259,0,19,19,1,1,26.0,0,0,0,1,0,0.0022678375244140625,0.0004363059997558594,2.2649765014648438e-05,0.0,0.0,0.0010652542114257812
27,0.9285714285714286,0,20,20,1,1,27.0,0,0,0,1,0,0.002363920211791992,0.00046539306640625,2.3603439331054688e-05,0.0,0.0,0.0011022090911865234
28,0.9310344827586207,0,20,20,1,1,11.0,0,0,0,0,0,0.002441883087158203,0.0004892349243164062,2.4318695068359375e-05,0.0,0.0,0.0011391639709472656
29,0.9,0,21,21,2,1,29.0,0,0,0,1,0,0.002541065216064453,0.0005195140838623047,2.5510787963867188e-05,0.0,0.0,0.0011780261993408203
30,0.9032258064516129,0,22,22,1,1,30.0,0,0,0,1,0,0.0026390552520751953,0.0005505084991455078,2.6464462280273438e-05,0.0,0.0,0.0012159347534179688
31,0.90625,0,23,24,1,1,4.0,0,0,1,0,0,0.0028228759765625,0.0005774497985839844,2.765655517578125e-05,2.002716064453125e-05,2.09808349609375e-05,0.0012538433074951172
32,0.8787878787878788,0,23,24,3,1,31.0,0,0,0,0,0,0.003002166748046875,0.0006322860717773438,2.86102294921875e-05,2.002716064453125e-05,2.09808349609375e-05,0.0013360977172851562
33,0.8823529411764706,0,23,24,3,2,16.5,0,0,0,0,0,0.0031480789184570312,0.0006663799285888672,2.956390380859375e-05,2.002716064453125e-05,2.09808349609375e-05,0.0014009475708007812
34,0.8857142857142857,0,24,25,1,1,34.0,0,0,0,1,0,0.0033919811248779297,0.0007221698760986328,3.147125244140625e-05,2.002716064453125e-05,2.09808349609375e-05,0.0014879703521728516
