Specified Values,Specified Attribute Names,class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
"0.0, 1.0, 0.0","A_1, A_2, R_1",0.0,0.23653770466592067,0.7495145631067961,2,69.26921762112093,4994,876,0.2727272727272727,0.0012804399829327079,386,515
"0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 1.0","A_1, A_2, R_0, R_1, R_3, R_5, R_7",0.0,0.20346349914002398,0.7272727272727273,1,60.75109459559617,4661,877,0.6363636363636364,0.0005614913319261313,24,33
"0.0, 0.0, 1.0, 1.0","A_0, A_1, R_0, R_7",1.0,0.2342545392889329,0.748062015503876,2,76.9598757520526,4969,893,0.36363636363636365,0.0014226016314123184,193,258
"1.0, 0.0, 0.0, 1.0","A_1, A_2, R_6, R_7",0.0,0.2373046875,0.75,1,70.24752953454949,4991,895,0.36363636363636365,0.0006492620286998694,192,256
"0.0, 0.0, 0.0, 1.0, 1.0, 1.0","A_0, A_1, R_1, R_4, R_5, R_7",0.0,0.2373046875,0.75,1,76.37879959879761,4994,898,0.5454545454545454,0.0007059302256713039,48,64
"1.0, 1.0, 0.0, 0.0, 1.0","A_0, A_1, R_3, R_5, R_6",1.0,0.2342067575938101,0.7480314960629921,1,80.47041549300745,4894,909,0.45454545454545453,0.0007437469411307247,95,127
"1.0, 1.0, 1.0, 1.0","A_2, R_3, R_5, R_7",1.0,0.5100306659634899,0.8740157480314961,2,80.82292997964785,4962,918,0.36363636363636365,0.0014940101048890272,222,254
"1.0, 0.0, 0.0, 1.0, 0.0, 1.0","A_0, A_1, R_1, R_3, R_4, R_6",0.0,0.231092867969897,0.746031746031746,1,70.42771102324487,4926,947,0.5454545454545454,0.0006509273541520192,47,63
"1.0, 0.0, 1.0, 1.0","A_2, R_0, R_2, R_7",1.0,0.1028699903971368,0.6345381526104418,1,79.77654637973572,4938,1010,0.36363636363636365,0.000737333863388063,158,249
"0.0, 0.0, 1.0, 0.0","A_0, A_1, A_2, R_1",0.0,1.0,1.0,17,79.38141895695384,4994,1033,0.36363636363636365,0.12620150936241234,245,245
"1.0, 0.0, 0.0, 0.0","A_0, A_2, R_0, R_4",0.0,0.22007081536662346,0.7387755102040816,2,72.13194575582654,4988,1048,0.36363636363636365,0.00133335745031328,181,245
"0.0, 1.0, 1.0","A_2, R_0, R_1",1.0,0.0892757213431526,0.6168032786885246,1,68.89123958113609,4996,1051,0.2727272727272727,0.0006367265335373621,301,488
"0.0, 0.0, 1.0, 0.0, 1.0, 1.0","A_1, A_2, R_1, R_2, R_4, R_5",1.0,0.21848085858476907,0.7377049180327869,1,67.22828622107086,4911,1117,0.5454545454545454,0.0006213567051698293,45,61
"1.0, 0.0, 1.0, 1.0, 1.0","A_0, R_0, R_3, R_5, R_6",1.0,0.23089142719765482,0.7459016393442623,1,66.79978471076076,4962,1120,0.45454545454545453,0.0006173962846151383,91,122
"0.0, 1.0, 1.0, 0.0","A_0, R_2, R_4, R_7",1.0,0.09033293668456337,0.6182572614107884,1,73.30768232520282,4979,1121,0.36363636363636365,0.0006775454576283411,149,241
"1.0, 0.0, 0.0, 0.0","A_2, R_1, R_5, R_7",0.0,0.5326455878770463,0.8816326530612245,1,82.50643409374686,4970,1147,0.36363636363636365,0.0007625648209329829,216,245
"0.0, 0.0, 0.0, 0.0","A_1, A_2, R_0, R_4",0.0,1.0,1.0,13,73.24475430169885,4988,1150,0.36363636363636365,0.008800529998710125,235,235
"0.0, 0.0, 1.0, 1.0","A_1, A_2, R_0, R_4",1.0,1.0,1.0,11,69.40279617906168,4974,1151,0.36363636363636365,0.007056000488209216,233,233
"0.0, 0.0, 1.0","A_1, A_2, R_4",1.0,0.2331705607570618,0.7473684210526316,1,60.70871653982896,4974,1164,0.2727272727272727,0.0005610996532060101,355,475
"0.0, 1.0, 1.0, 1.0, 0.0","A_0, A_2, R_3, R_4, R_7",1.0,0.21848085858476907,0.7377049180327869,1,74.40975277649851,4979,1165,0.45454545454545453,0.000687731331803838,90,122
"1.0, 0.0, 0.0, 0.0","A_1, R_2, R_3, R_7",0.0,0.5318101965925766,0.8813559322033898,2,83.00181000071346,4986,1201,0.36363636363636365,0.0015342866547447742,208,236
"1.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0","A_0, A_2, R_0, R_1, R_2, R_3, R_7",0.0,0.26487008230452685,0.7666666666666667,1,69.38711326651911,4823,1201,0.6363636363636364,0.0006413096406883733,23,30
"1.0, 0.0, 0.0","A_2, R_1, R_5",0.0,0.24479793123806995,0.7546777546777547,2,79.40939607851485,4970,1214,0.2727272727272727,0.0014678809614339743,363,481
"1.0, 0.0, 1.0","A_2, R_0, R_1",1.0,0.0939932841461223,0.6231884057971014,1,72.20207846613053,4975,1217,0.2727272727272727,0.0006673269259698486,301,483
"0.0, 0.0, 0.0, 0.0, 0.0","A_1, A_2, R_0, R_1, R_6",0.0,0.22397642588184608,0.7413793103448276,1,73.05476543527826,4945,1220,0.45454545454545453,0.0006752078760203769,86,116
"1.0, 1.0, 0.0, 0.0, 1.0, 1.0","A_1, R_0, R_3, R_4, R_6, R_7",1.0,0.09381424937119162,0.6229508196721312,1,64.67962529613985,4814,1227,0.5454545454545454,0.0005978007342545113,38,61
"0.0, 1.0, 1.0, 0.0","A_2, R_2, R_4, R_5",1.0,0.2510181589822836,0.7584745762711864,1,72.32055169862925,4934,1257,0.36363636363636365,0.000668421913534371,179,236
"0.0, 0.0, 0.0, 0.0","A_0, A_1, R_0, R_1",0.0,1.0,1.0,9,80.50437835595797,4957,1267,0.36363636363636365,0.006696547582703786,230,230
"1.0, 1.0, 1.0, 1.0","A_0, A_1, R_6, R_7",1.0,1.0,1.0,13,79.89675550162353,4983,1283,0.36363636363636365,0.009599783633588318,229,229
"0.0, 0.0, 0.0, 0.0","A_0, A_1, A_2, R_0",0.0,1.0,1.0,16,69.27647102748104,4966,1313,0.36363636363636365,0.01024459249593362,227,227
