A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
#,1.0,1.0,0.0,#,#,0.0,#,0.0,0.0,#,0.0,0.23067648453224557,0.7457627118644068,1,53.347617629930106,4890,1178,0.5454545454545454,0.0007845319586354657,44,59
0.0,0.0,1.0,#,1.0,#,1.0,#,#,1.0,#,1.0,1.0,1.0,3,69.86444186477237,4919,1188,0.5454545454545454,0.0030822868864752704,59,59
#,#,1.0,0.0,#,#,0.0,#,#,1.0,0.0,0.0,0.24059140593162093,0.7520661157024794,1,48.410781245720045,4958,1216,0.45454545454545453,0.0007119306675181247,91,121
#,0.0,#,#,#,#,#,1.0,1.0,#,#,1.0,0.23394348563573347,0.7478632478632479,1,53.629647448138584,4997,1242,0.2727272727272727,0.0007886794991537244,350,468
1.0,1.0,#,#,#,1.0,#,#,#,1.0,1.0,1.0,1.0,1.0,2,61.964806790284214,4970,1253,0.45454545454545453,0.0018225132966528527,115,115
#,0.0,#,#,#,#,#,#,0.0,#,0.0,0.0,0.09212394683496279,0.6206896551724138,1,42.81165147812784,4982,1254,0.2727272727272727,0.0006295896663942287,288,464
0.0,1.0,0.0,#,#,1.0,0.0,#,#,#,#,1.0,1.0,1.0,1,50.47838218707365,4868,1275,0.45454545454545453,0.0007423368803587637,116,116
1.0,#,#,#,#,#,#,0.0,#,#,#,0.0,0.09805192516554938,0.6284796573875803,1,51.088049653484205,4983,1279,0.18181818181818182,0.0007513026717621842,587,934
0.0,#,0.0,#,0.0,1.0,#,#,#,#,#,1.0,0.24591427174250186,0.7553648068669528,1,54.09380783684777,4986,1310,0.36363636363636365,0.0007955054583071602,176,233
0.0,0.0,1.0,#,0.0,#,#,#,0.0,#,#,0.0,1.0,1.0,2,50.75402143441597,4994,1348,0.45454545454545453,0.0014927808818300155,111,111
0.0,1.0,1.0,0.0,#,#,1.0,#,#,#,#,1.0,1.0,1.0,2,53.19159682961201,4944,1363,0.45454545454545453,0.0015644750224149124,117,117
#,#,0.0,#,#,#,#,1.0,0.0,#,#,1.0,0.10387718621514123,0.6357758620689655,1,55.49368256662932,4986,1367,0.2727272727272727,0.0008179070941145069,295,464
0.0,0.0,1.0,#,1.0,#,1.0,#,#,1.0,1.0,1.0,1.0,1.0,1,71.48006240511003,4732,1384,0.6363636363636364,0.0010511883351770168,28,28
