Iteration,Accuracy (approx),Average Population Generality,Macropopulation Size,Micropopulation Size,Match Set Size,Correct Set Size,Average Iteration Age of Correct Set Classifiers,# Classifiers Subsumed in Iteration,# Crossover Operations Performed in Iteration,# Mutation Operations Performed in Iteration,# Covering Operations Performed in Iteration,# Deletion Operations Performed in Iteration,Total Global Time,Total Matching Time,Total Deletion Time,Total Subsumption Time,Total Selection Time,Total Evaluation Time
15,,,13,13,1,1,15.0,0,0,0,1,0,0.0017271041870117188,0.0005402565002441406,2.0742416381835938e-05,2.6464462280273438e-05,0.0,0.000774383544921875
16,,,14,14,1,1,16.0,0,0,0,1,0,0.0018401145935058594,0.0005893707275390625,2.1696090698242188e-05,2.7418136596679688e-05,0.0,0.0008175373077392578
17,,,15,15,1,1,17.0,0,0,0,1,0,0.0019519329071044922,0.0006372928619384766,2.384185791015625e-05,2.956390380859375e-05,0.0,0.0008604526519775391
18,,,16,16,1,1,18.0,0,0,0,1,0,0.0020720958709716797,0.0006923675537109375,2.47955322265625e-05,3.147125244140625e-05,0.0,0.0009045600891113281
19,,,17,17,1,1,19.0,0,0,0,1,0,0.002201080322265625,0.0007505416870117188,2.574920654296875e-05,3.24249267578125e-05,0.0,0.0009548664093017578
20,,,18,18,1,1,20.0,0,0,0,1,0,0.002376079559326172,0.0008447170257568359,2.6941299438476562e-05,3.361701965332031e-05,0.0,0.0010159015655517578
21,,,19,19,2,1,21.0,0,0,0,1,0,0.002501964569091797,0.0008997917175292969,2.8848648071289062e-05,3.552436828613281e-05,0.0,0.0010631084442138672
22,,,19,19,2,2,12.5,0,0,0,0,0,0.002624034881591797,0.0009479522705078125,3.075599670410156e-05,3.743171691894531e-05,0.0,0.0011119842529296875
23,,,20,20,1,1,23.0,0,0,0,1,0,0.0027518272399902344,0.001010894775390625,3.170967102050781e-05,3.9577484130859375e-05,0.0,0.0011570453643798828
24,,,21,21,1,1,24.0,0,0,0,1,0,0.002875089645385742,0.0010700225830078125,3.266334533691406e-05,4.0531158447265625e-05,0.0,0.0012009143829345703
25,,,21,21,1,1,17.0,0,0,0,0,0,0.0029859542846679688,0.0011157989501953125,3.361701965332031e-05,4.1484832763671875e-05,0.0,0.0012447834014892578
26,,,22,22,1,1,26.0,0,0,0,1,0,0.003119945526123047,0.001184701919555664,3.457069396972656e-05,4.2438507080078125e-05,0.0,0.0012898445129394531
27,,,23,23,1,1,27.0,0,0,0,1,0,0.0032460689544677734,0.0012466907501220703,3.552436828613281e-05,4.3392181396484375e-05,0.0,0.0013339519500732422
28,,,24,25,1,1,28.0,0,0,1,0,0,0.003556966781616211,0.0013039112091064453,3.6716461181640625e-05,0.00010538101196289062,0.00015306472778320312,0.0013782978057861328
29,,,25,26,1,1,29.0,0,0,0,1,0,0.003701925277709961,0.0013740062713623047,3.790855407714844e-05,0.00010728836059570312,0.00015306472778320312,0.001430511474609375
30,,,26,27,2,1,30.0,0,0,0,1,0,0.0038461685180664062,0.0014431476593017578,3.9577484130859375e-05,0.00010943412780761719,0.00015306472778320312,0.0014793872833251953
31,,,26,27,1,1,30.0,0,0,0,0,0,0.003972053527832031,0.0015001296997070312,4.0531158447265625e-05,0.00011038780212402344,0.00015306472778320312,0.0015285015106201172
32,,,26,27,1,1,20.0,0,0,0,0,0,0.0041010379791259766,0.00156402587890625,4.1484832763671875e-05,0.00011134147644042969,0.00015306472778320312,0.0015735626220703125
33,,,27,28,1,1,33.0,0,0,0,1,0,0.004239082336425781,0.0016369819641113281,4.2438507080078125e-05,0.00011229515075683594,0.00015306472778320312,0.0016186237335205078
34,,,27,28,1,1,23.0,0,0,0,0,0,0.004361152648925781,0.0016937255859375,4.3392181396484375e-05,0.00011301040649414062,0.00015306472778320312,0.0016639232635498047
