A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
#,0.0,0.0,#,0.0,#,#,1.0,#,#,#,1.0,0.23895034476539087,0.7510373443983402,1,81.40081904050359,4993,1187,0.36363636363636365,0.0008580150801877735,181,241
#,1.0,1.0,#,1.0,0.0,0.0,#,1.0,#,#,0.0,0.22397642588184608,0.7413793103448276,1,62.60726830241932,4896,1195,0.5454545454545454,0.00065991940825692,43,58
#,0.0,0.0,#,#,1.0,#,1.0,#,#,1.0,1.0,0.23044663552247954,0.7456140350877193,1,79.43268839979723,4979,1196,0.45454545454545453,0.0008372697635016425,85,114
0.0,1.0,1.0,#,#,#,1.0,#,#,#,#,1.0,1.0,1.0,16,75.6943642595825,4987,1209,0.36363636363636365,0.012765848164280861,240,240
#,1.0,0.0,#,#,1.0,#,#,0.0,#,#,1.0,0.22900814666525524,0.7446808510638298,1,67.22059621351215,4990,1218,0.36363636363636365,0.0007085467435125914,175,235
1.0,0.0,#,1.0,1.0,#,#,#,0.0,#,1.0,0.0,0.2581086210919234,0.7627118644067796,1,73.27413943802624,4897,1221,0.5454545454545454,0.0007723548407335438,45,59
1.0,#,#,#,0.0,0.0,1.0,1.0,#,1.0,1.0,1.0,0.47611301541420215,0.8620689655172413,1,79.70797403415033,4951,1255,0.6363636363636364,0.0008401714446937751,25,29
#,1.0,1.0,#,#,#,0.0,#,#,#,0.0,0.0,1.0,1.0,12,73.72775181204668,4971,1262,0.36363636363636365,0.00909567234688543,238,238
#,#,0.0,1.0,#,1.0,0.0,#,0.0,#,#,1.0,0.23044663552247954,0.7456140350877193,1,74.73064140042707,4979,1272,0.45454545454545453,0.000787707274072589,85,114
0.0,0.0,#,#,1.0,#,#,#,#,0.0,#,1.0,0.23382520691544914,0.7477876106194691,1,56.93952969315718,4997,1280,0.36363636363636365,0.0005710318778621806,169,226
#,1.0,0.0,#,1.0,0.0,#,1.0,1.0,#,#,0.0,0.24486155808474971,0.7547169811320755,1,71.84753162275346,4994,1287,0.5454545454545454,0.000757317510231885,40,53
0.0,#,0.0,#,#,1.0,#,#,1.0,#,#,1.0,0.2693290743429045,0.7692307692307693,1,69.24575721517786,4950,1291,0.36363636363636365,0.0007298931955473399,180,234
0.0,1.0,#,#,#,#,1.0,0.0,#,#,#,1.0,0.24248581709132566,0.7532467532467533,1,74.62802461647334,4987,1303,0.36363636363636365,0.0007866256295737926,174,231
#,0.0,#,1.0,1.0,#,#,#,0.0,#,1.0,1.0,0.07660972442917474,0.5982142857142857,1,66.7320183332318,4979,1306,0.45454545454545453,0.0007033968298622371,67,112
#,#,0.0,1.0,#,1.0,#,#,#,#,0.0,1.0,0.2529803136456546,0.759656652360515,1,74.56930694939965,4993,1312,0.36363636363636365,0.0007860067089730355,177,233
1.0,#,1.0,#,#,#,#,#,#,#,0.0,0.0,0.2574338116425154,0.7623126338329764,3,64.83774667580882,4995,1322,0.2727272727272727,0.001922519973052958,356,467
#,#,1.0,#,#,#,0.0,#,0.0,#,1.0,0.0,0.10178003584215133,0.6331877729257642,1,56.273237397200084,4915,1327,0.36363636363636365,0.0005931547970513582,145,229
1.0,#,#,1.0,#,#,#,1.0,1.0,1.0,#,1.0,0.52253774547441,0.8782608695652174,1,81.79757930416615,4993,1335,0.45454545454545453,0.0008621971792557492,101,115
1.0,1.0,0.0,#,1.0,#,0.0,0.0,1.0,1.0,#,0.0,0.0,0.0,1,58.097888256,1337,1337,0.7272727272727273,0.0006123877479157579,0,13
0.0,1.0,1.0,#,#,#,0.0,#,#,#,#,0.0,1.0,1.0,12,56.72516737960736,4998,1339,0.36363636363636365,0.007166330311317984,230,230
#,1.0,0.0,#,1.0,0.0,#,#,#,#,#,0.0,0.2497542852756666,0.7577092511013216,1,78.53295111873464,4994,1351,0.36363636363636365,0.000827785974954322,172,227
0.0,#,1.0,0.0,1.0,#,#,#,#,0.0,#,1.0,0.21720617794361205,0.7368421052631579,1,68.88641894165697,4997,1367,0.45454545454545453,0.000728441398696447,84,114
#,0.0,1.0,#,#,#,#,#,0.0,#,#,0.0,0.24808952124931108,0.7566964285714286,4,63.524340211908275,4995,1397,0.2727272727272727,0.0026311674302028714,339,448
0.0,#,#,1.0,#,1.0,#,#,1.0,#,#,1.0,0.22545880209945038,0.74235807860262,1,71.65599225256241,4987,1420,0.36363636363636365,0.000755298566565092,170,229
#,#,1.0,#,#,#,#,#,0.0,1.0,0.0,0.0,0.22326704165722358,0.740909090909091,1,67.44590603547826,4940,1467,0.36363636363636365,0.0007109216486700586,163,220
#,1.0,0.0,0.0,#,0.0,#,#,#,#,#,0.0,0.2486029088752241,0.7570093457943925,1,77.74217386467093,4994,1548,0.36363636363636365,0.0008194506926186672,162,214
0.0,0.0,0.0,1.0,#,#,#,#,1.0,#,#,1.0,1.0,1.0,6,62.99160159871766,4996,1550,0.45454545454545453,0.003983823116324185,114,114
1.0,#,1.0,0.0,#,#,#,#,#,1.0,1.0,1.0,0.25231930775284844,0.7592592592592593,1,75.91380553926561,4983,1569,0.45454545454545453,0.0008001785573523765,82,108
#,0.0,1.0,0.0,#,#,1.0,#,1.0,#,0.0,1.0,0.16581708354279173,0.6981132075471698,1,65.87535830862117,4887,1572,0.5454545454545454,0.0006943671022947022,37,53
0.0,#,1.0,#,0.0,#,#,#,1.0,#,0.0,0.0,0.2373046875,0.75,2,68.73481872615905,4875,1581,0.45454545454545453,0.0014490151744461508,87,116
0.0,1.0,#,#,#,#,0.0,#,#,#,#,0.0,0.22301350200402018,0.7407407407407407,3,61.61328116190056,4998,1586,0.2727272727272727,0.001984796635208683,320,432
1.0,0.0,#,#,#,#,#,#,1.0,1.0,#,1.0,0.23168160930315504,0.7464114832535885,1,72.10724364528181,4993,1589,0.36363636363636365,0.0007600550359037645,156,209
1.0,0.0,#,#,#,#,0.0,#,1.0,#,1.0,1.0,0.22621766644850363,0.7428571428571429,1,67.27290877546741,4972,1599,0.45454545454545453,0.0007090981503358882,78,105
#,1.0,0.0,1.0,#,0.0,#,#,0.0,#,#,0.0,0.25532893796498723,0.7610619469026548,1,77.06186862624001,4988,1600,0.45454545454545453,0.0008122798537919223,86,113
