A_0,A_1,A_2,R_0,R_1,R_2,R_3,R_4,R_5,R_6,R_7,class,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count
#,#,0.0,#,#,1.0,#,0.0,#,#,#,1.0,0.004115226337448558,0.3333333333333333,1,5.0,72,72,0.2727272727272727,,1,3
#,#,0.0,#,0.0,#,#,1.0,#,#,#,0.0,1.0,1.0,1,2.5,78,73,0.2727272727272727,,2,2
#,0.0,1.0,#,#,#,#,0.0,#,#,#,0.0,0.13168724279835387,0.6666666666666666,1,5.333333333333333,77,77,0.2727272727272727,,2,3
0.0,#,0.0,#,0.0,0.0,#,1.0,#,#,0.0,0.0,0.1,1.0,1,2.5,78,78,0.5454545454545454,,0,0
0.0,#,#,1.0,#,#,1.0,#,#,0.0,0.0,0.0,0.0,0.0,1,3.0,78,78,0.45454545454545453,,0,1
#,0.0,0.0,#,#,1.0,#,#,#,0.0,1.0,0.0,1.0,1.0,1,6.0,79,79,0.45454545454545453,,2,2
#,#,#,0.0,#,1.0,1.0,#,1.0,#,1.0,1.0,0.0,0.0,1,10.0,81,81,0.45454545454545453,,0,1
#,0.0,#,0.0,1.0,#,#,1.0,#,#,1.0,0.0,1.0,1.0,1,5.0,82,82,0.45454545454545453,,1,1
#,1.0,0.0,1.0,1.0,0.0,0.0,#,#,#,#,0.0,1.0,1.0,1,1.0,83,83,0.5454545454545454,,1,1
#,1.0,0.0,1.0,0.0,#,0.0,0.0,1.0,#,0.0,0.0,1.0,1.0,1,2.0,84,84,0.7272727272727273,,1,1
#,#,#,1.0,#,#,#,0.0,0.0,#,0.0,0.0,0.02373046875,0.75,1,1.5,89,89,0.36363636363636365,,0,0
#,#,0.0,#,#,0.0,0.0,#,1.0,#,#,1.0,0.0,0.0,1,2.0,91,91,0.36363636363636365,,0,1
#,0.0,1.0,#,#,1.0,1.0,#,0.0,#,#,0.0,1.0,1.0,1,3.0,93,93,0.45454545454545453,,1,1
0.0,1.0,1.0,#,#,#,1.0,#,#,#,0.0,1.0,1.0,1.0,1,3.0,95,95,0.45454545454545453,,1,1
0.0,1.0,1.0,#,0.0,0.0,#,#,1.0,0.0,1.0,1.0,1.0,1.0,1,2.0,96,96,0.7272727272727273,,1,1
#,#,0.0,1.0,#,#,#,1.0,0.0,#,1.0,0.0,0.1,1.0,1,1.6666666666666667,97,97,0.45454545454545453,,0,0
